Date,AAPL,AMZN,BKNG,GOOG,META,MSFT
2014-07-01,23.3799991607666,16.61949920654297,1246.77001953125,29.053733825683597,68.05999755859375,41.869998931884766
2014-07-02,23.3700008392334,16.642499923706055,1237.8399658203125,29.037029266357425,66.44999694824219,41.900001525878906
2014-07-03,23.50749969482422,16.874500274658203,1243.1199951171875,29.156450271606445,66.29000091552734,41.79999923706055
2014-07-07,23.99250030517578,16.677499771118164,1252.4000244140625,29.03278923034668,65.29000091552734,41.9900016784668
2014-07-08,23.837499618530277,16.190500259399414,1225.22998046875,28.476318359375,62.7599983215332,41.77999877929688
2014-07-09,23.84749984741211,16.49850082397461,1236.3699951171875,28.725135803222656,64.97000122070312,41.66999816894531
2014-07-10,23.76000022888184,16.395999908447266,1216.1300048828125,28.476816177368164,64.87000274658203,41.68999862670898
2014-07-11,23.80500030517578,17.309999465942383,1214.9200439453125,28.879711151123047,66.33999633789062,42.09000015258789
2014-07-14,24.112499237060547,17.766000747680664,1228.489990234375,29.16343116760254,67.9000015258789,42.13999938964844
2014-07-15,23.82999992370605,17.722000122070312,1231.0,29.15894317626953,67.16999816894531,42.45000076293945
2014-07-16,23.69499969482422,17.795000076293945,1223.6500244140625,29.0532341003418,67.66000366210938,44.08000183105469
2014-07-17,23.272499084472656,17.622499465942383,1201.3699951171875,28.60795783996582,66.41000366210938,44.52999877929688
2014-07-18,23.607500076293945,17.933000564575195,1212.780029296875,29.672534942626957,68.41999816894531,44.68999862670898
2014-07-21,23.48500061035156,17.988000869750977,1215.9200439453125,29.39280128479004,69.4000015258789,44.84000015258789
2014-07-22,23.68000030517578,18.04199981689453,1230.6600341796875,29.655580520629883,69.2699966430664,44.83000183105469
2014-07-23,24.29750061035156,17.906999588012695,1238.6800537109375,29.71741104125977,71.29000091552734,44.869998931884766
2014-07-24,24.25749969482422,17.930500030517578,1236.72998046875,29.586271286010746,74.9800033569336,44.400001525878906
2014-07-25,24.417499542236328,16.20050048828125,1227.780029296875,29.370363235473636,75.19000244140625,44.5
2014-07-28,24.7549991607666,16.02050018310547,1239.2900390625,29.449146270751957,74.91999816894531,43.970001220703125
2014-07-29,24.59499931335449,16.0,1246.6099853515625,29.20033073425293,73.70999908447266,43.88999938964844
2014-07-30,24.537500381469727,16.125499725341797,1255.949951171875,29.29058265686035,74.68000030517578,43.58000183105469
2014-07-31,23.899999618530277,15.649499893188477,1242.449951171875,28.501747131347656,72.6500015258789,43.15999984741211
2014-08-01,24.03249931335449,15.352999687194824,1245.9000244140625,28.22600555419922,72.36000061035156,42.86000061035156
2014-08-04,23.897499084472656,15.682499885559082,1299.9200439453125,28.579036712646484,73.51000213623047,43.369998931884766
2014-08-05,23.780000686645508,15.616000175476074,1281.2099609375,28.1761417388916,72.69000244140625,43.08000183105469
2014-08-06,23.739999771118164,15.694499969482422,1280.5699462890625,28.24116325378418,72.47000122070312,42.7400016784668
2014-08-07,23.6200008392334,15.572500228881836,1285.1099853515625,28.09087562561035,73.16999816894531,43.22999954223633
2014-08-08,23.684999465942383,15.84000015258789,1281.56005859375,28.36063575744629,73.05999755859375,43.20000076293945
2014-08-11,23.997499465942383,15.916500091552734,1309.280029296875,28.31625747680664,73.44000244140625,43.20000076293945
2014-08-12,23.99250030517578,15.965999603271484,1294.3599853515625,28.05946350097656,72.83000183105469,43.52000045776367
2014-08-13,24.309999465942383,16.31399917602539,1293.75,28.66031265258789,73.7699966430664,44.08000183105469
2014-08-14,24.375,16.660499572753906,1284.81005859375,28.653831481933597,74.30000305175781,44.27000045776367
2014-08-15,24.4950008392334,16.681499481201172,1270.1199951171875,28.59549140930176,73.62999725341797,44.790000915527344
2014-08-18,24.790000915527344,16.726499557495117,1276.1800537109375,29.028303146362305,74.58999633789062,45.11000061035156
2014-08-19,25.13249969482422,16.756500244140625,1271.780029296875,29.262659072875977,75.29000091552734,45.33000183105469
2014-08-20,25.14249992370605,16.788999557495117,1273.3699951171875,29.14448356628418,74.80999755859375,44.95000076293945
2014-08-21,25.145000457763672,16.64550018310547,1265.050048828125,29.08863639831543,74.56999969482422,45.220001220703125
2014-08-22,25.32999992370605,16.579500198364258,1277.5,29.048248291015625,74.56999969482422,45.150001525878906
2014-08-25,25.38500022888184,16.701000213623047,1277.010009765625,28.930570602416992,75.0199966430664,45.16999816894531
2014-08-26,25.22249984741211,17.09149932861328,1277.52001953125,28.81389045715332,75.95999908447266,45.0099983215332
2014-08-27,25.53249931335449,17.159000396728516,1260.77001953125,28.471830368041992,74.62999725341797,44.869998931884766
2014-08-28,25.5625,17.000999450683594,1250.7099609375,28.38207626342773,73.86000061035156,44.880001068115234
2014-08-29,25.625,16.95199966430664,1244.31005859375,28.501747131347656,74.81999969482422,45.43000030517578
2014-09-02,25.825000762939453,17.118999481201172,1254.9000244140625,28.787464141845703,76.68000030517578,45.09000015258789
2014-09-03,24.73500061035156,16.950000762939453,1234.4000244140625,28.817880630493164,75.83000183105469,44.959999084472656
2014-09-04,24.530000686645508,17.297500610351562,1220.760009765625,29.01932716369629,75.94999694824219,45.2599983215332
2014-09-05,24.74250030517578,17.319000244140625,1195.02001953125,29.223766326904297,77.26000213623047,45.90999984741211
2014-09-08,24.59000015258789,17.117000579833984,1198.8599853515625,29.4052677154541,77.88999938964844,46.470001220703125
2014-09-09,24.497499465942383,16.487499237060547,1177.0799560546875,28.97096061706543,76.66999816894531,46.7599983215332
2014-09-10,25.25,16.566499710083008,1188.6400146484375,29.07517433166504,77.43000030517578,46.84000015258789
2014-09-11,25.357500076293945,16.525999069213867,1176.8499755859375,28.987913131713867,77.91999816894531,47.0
2014-09-12,25.415000915527344,16.559499740600586,1163.93994140625,28.702198028564453,77.4800033569336,46.70000076293945
2014-09-15,25.40749931335449,16.194499969482422,1153.5899658203125,28.5765438079834,74.58000183105469,46.2400016784668
2014-09-16,25.21500015258789,16.38800048828125,1172.9200439453125,28.91810417175293,76.08000183105469,46.7599983215332
2014-09-17,25.395000457763672,16.200000762939453,1173.800048828125,29.158445358276367,76.43000030517578,46.52000045776367
